"object_id0","Col","Lin","c_AWetric","c_AWMetric","c_CAMetric","c_EDMetric","c_LSMetric","c_MPetric","c_MPetri_1","c_MPMetric","c_MSMetric","c_PDMetric","c_PentLand","c_PSMetric","c_PSetric","deci_class","padrao"
"C37L04",37,4,0.04541018,0.008524008,372.3246,1.554437,0.4384987,0.01510424,7.477514,62.0541,1.193619,0.06,0.03723246,169.7007,105.3063,1,"difuso"
"C37L05",37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L06",37,6,0.003393006,0.000544625,26.8272,0.4879985,0.1376618,0.02486646,7.625135,4.4712,1.143927,0.06,0.00268272,79.2438,3.543149,1,"difuso"
"C37L07",37,7,0.002301066,0.002374577,18.3951,0.1962638,0.05536499,0.01066935,1.250912,18.3951,1.290875,0.01,NA,0,0,1,"difuso"
"C37L08",37,8,0.004315804,0.000836247,34.45295,0.4893947,0.1380557,0.02507614,6.36321,6.89059,1.171511,0.05,0.003445295,90.12657,6.210252,1,"difuso"
"C37L09",37,9,0.001018456,0.000445279,8.120379,0.152876,0.04312552,0.02009399,2.511268,4.060189,1.084009,0.02,0.000812038,37.85318,1.536911,1,"difuso"
"C37L10",37,10,0.008664365,0.000796347,68.62046,1.08223,0.3052914,0.0350336,14.2143,6.238223,1.243023,0.11,0.006862046,95.99392,5.988315,1,"difuso"
"C37L11",37,11,0.01118037,0.000689369,89.36908,1.398297,0.3944523,0.02168253,18.96059,5.957939,1.149567,NA,0.008936908,69.27483,4.127352,1,"difuso"
"C37L12",37,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L13",37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L14",37,14,0.1930574,0.03473712,1589.994,3.640936,1.027089,0.01486744,8.801956,227.142,1.371345,0.07,0.1589994,NA,348.1988,2,"geometrico"
"C37L15",37,15,NA,0.004863855,99.02262,0.7548577,0.2129414,0.3546383,4.534523,33.00754,2.217266,0.03,0.009902262,79.50069,26.24122,1,"difuso"
"C37L16",37,16,0.09846628,0.003989956,793.0378,5.826832,1.643719,0.01979398,35.22741,28.32278,1.241701,0.28,0.07930378,130.9764,37.09616,1,"difuso"
"C37L17",37,17,0.08404272,0.01730776,682.5133,3.169948,0.8942257,0.006510602,7.448497,113.7522,1.488004,0.06,0.06825133,74.49328,84.73777,1,"difuso"
"C37L18",37,18,0.1782483,0.03035034,1448.424,4.68468,1.321524,0.006552037,9.876176,181.053,1.399514,0.08,0.1448424,140.3725,254.1486,1,"difuso"
"C37L19",37,19,0.6086337,0.08125124,4785,14.92998,4.21167,0.01110415,18.93788,319,1.681827,0.15,0.4785,178.0932,568.1173,4,"multidirecional"
"C37L20",37,20,0.4027725,0.0257387,3267.443,11.22755,3.167234,0.02726653,26.8959,155.5925,1.562835,0.21,0.3267443,160.0589,249.0397,3,"linear"
"C37L21",37,21,0.5647778,0.1569685,4420.386,9.281424,2.618241,0.01949337,11.47561,491.1541,1.536768,NA,0.4420386,256.3348,1258.999,2,"geometrico"
"C37L22",37,22,0.4894936,0.2877101,3818.669,9.479598,2.674145,0.01438042,5.215168,954.6673,2.334149,0.04,0.3818669,112.2402,1071.52,2,"geometrico"
"C37L23",37,23,0.8275761,0.3956227,6325.71,15.37215,4.336405,0.009157406,8.852147,903.6728,1.92498,0.07,0.632571,214.8352,1941.407,4,"multidirecional"
"C37L24",37,24,0.9171034,0.3580946,7067.377,15.90428,4.486515,0.1542192,11.02105,NA,2.100721,0.08,0.7067377,216.1023,1909.095,4,"multidirecional"
"C37L25",37,25,1.007786,0.4501245,7790.878,13.45909,3.79674,0.07770688,9.580191,1112.983,2.002695,0.07,0.7790878,242.849,2702.867,4,"multidirecional"
"C37L26",37,26,0.8181874,0.3009445,6208.58,15.22055,4.293638,0.8308098,3.844884,620.858,1.984923,0.1,0.620858,290.5811,1804.096,4,"multidirecional"
"C37L27",37,27,0.5663952,0.1909949,4309.649,11.71891,3.305844,0.01934385,12.71102,430.9649,1.546814,0.1,0.4309649,288.9472,1245.261,4,"multidirecional"
"C37L28",37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L29",37,29,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C37L30",37,30,0.007833073,0.002897769,62.1837,0.6665672,0.1880351,0.01089223,3.775714,20.7279,1.376627,0.03,0.00621837,23.86038,4.945756,1,"difuso"
"C37L31",37,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C38L00",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C38L01",38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C38L02",38,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,"floresta"
"C38L03",38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C38L04",38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C38L05",38,5,0.000590709,0.000518903,4.7142,0.08472029,NA,0.0179713,1.253042,4.7142,1.100724,0.01,0.00047142,0,0,1,"difuso"
"C38L06",38,6,NA,0.001558763,150.9761,1.749401,0.4934968,0.02885057,17.81043,10.78401,1.187393,0.14,0.01509761,143.5683,15.48242,1,"difuso"
"C38L07",38,7,0.003833172,0.0005198,30.2211,0.597041,0.1684221,0.02194497,8.893762,4.3173,1.180222,0.07,0.00302211,46.62722,2.013037,1,"difuso"
"C38L08",38,8,0.01648141,0.000535181,130.2572,2.380667,0.6715736,0.1925102,40.91602,4.341908,1.250224,0.3,0.01302572,96.99252,4.211326,1,"difuso"
"C38L09",38,9,0.02898894,0.000879958,229.8142,3.370148,0.9507011,0.02892522,43.43777,6.759241,1.183966,0.34,0.02298142,111.976,7.568726,1,"difuso"
"C38L10",38,10,0.075667,0.001800822,596.2545,6.956505,1.962394,0.02564837,66.18047,11.46643,1.228079,0.52,0.05962545,159.8659,18.33092,1,"difuso"
"C38L11",38,11,0.09104456,0.008827497,735.9461,3.076527,0.8678723,0.02345909,17.82417,52.56758,1.270078,NA,0.07359461,301.2361,158.3525,1,"difuso"
"C38L12",38,12,0.04868278,0.007812891,408.8571,NA,0.3726601,0.01487192,7.498183,68.14285,1.191093,0.06,0.04088571,202.13,NA,1,"difuso"
"C38L13",38,13,0.0421947,0.002060568,343.4835,2.895028,0.8166722,0.02096116,25.14162,17.17418,1.165413,0.2,0.03434835,136.1924,23.38992,1,"difuso"
"C38L14",38,14,0.1385994,0.02554293,1095.086,3.80573,1.073577,0.02382646,12.75203,109.5086,1.352938,0.1,0.1095086,273.3997,299.3961,1,"difuso"
"C38L15",38,15,NA,0.04478328,595.9898,1.307084,0.3687215,0.2045605,2.86043,297.9949,1.47889,0.02,0.05959898,99.99461,297.9788,2,"geometrico"
"C38L16",38,16,NA,0.02080146,1456.854,5.523148,1.558051,0.0196407,17.68532,104.061,1.350355,0.14,0.1456854,247.2189,NA,1,"difuso"
"C38L17",38,17,0.2007739,0.04207787,1582.213,5.708465,1.610328,0.0296134,11.52266,175.8015,1.486744,0.09,0.1582213,195.412,343.5371,1,"difuso"
"C38L18",38,18,0.4970055,0.0881303,4060.629,9.021944,2.545043,0.006115732,9.874985,507.5786,1.539594,0.08,0.4060629,97.06574,492.6849,2,"geometrico"
"C38L19",38,19,0.7749138,0.1328942,5961.48,14.59144,4.116169,0.1197293,24.23323,331.1933,1.475429,0.18,0.596148,375.423,1243.376,4,"multidirecional"
"C38L20",38,20,0.7221275,0.1261465,5510.238,15.25921,4.304543,0.03247811,24.68862,290.0125,1.544839,0.19,0.5510238,386.0493,1119.591,4,"multidirecional"
"C38L21",38,21,0.9760727,0.4882349,7877.018,7.925992,2.235881,0.04032374,5.170728,1969.254,1.453564,0.04,0.7877018,173.0842,3408.467,0,"consolidado"
"C38L22",38,22,0.8031298,0.5485576,6035.117,15.403,4.345105,0.02582693,7.746106,1005.853,NA,0.06,0.6035117,222.6845,2239.878,4,"multidirecional"
